SalesOrderNumber,OrderDate,Year,Quarter,YearQuarter,Month,ProductKey,Category,Subcategory,ModelName,Color,CustomerKey,CustomerName,Gender,AgeGroup,Education,Region,SalespersonID,SalespersonName,SupervisorName,SalesReasonName,SalesReasonType,Quantity,UnitPrice,UnitCost,SalesAmount,TotalCost,Profit,ShippingDays
SO43741,2005-07-12,2005,Q3,2005-Q3,7,310,Bikes,Road Bikes,Road-150,Red,27671,Jeremiah Martinez,M,55 - 64,Graduate Degree,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,11,160.5,107,1765.5,1177,588.5,7
SO43742,2005-07-12,2005,Q3,2005-Q3,7,314,Bikes,Road Bikes,Road-150,Red,13576,Tamara Lal,F,55 - 64,Bachelors,United Kingdom,10,Roshan Jeffery,Benn Pitt,Manufacturer,Other,11,172.5,115,1897.5,1265,632.5,7
SO43743,2005-07-12,2005,Q3,2005-Q3,7,347,Bikes,Mountain Bikes,Mountain-100,Silver,11007,Marco Mehta,M,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Price,Other,2,235.5,157,471.0,314,157.0,7
SO43744,2005-07-12,2005,Q3,2005-Q3,7,313,Bikes,Road Bikes,Road-150,Red,16631,Haley Ward,F,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,20,169.5,113,3390.0,2260,1130.0,7
SO43745,2005-07-13,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,16514,Manuel Fernandez,M,25 - 34,Partial College,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,6,163.5,109,981.0,654,327.0,7
SO43746,2005-07-13,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,16616,Kelvin Liang,M,25 - 34,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,6,166.5,111,999.0,666,333.0,7
SO43747,2005-07-14,2005,Q3,2005-Q3,7,314,Bikes,Road Bikes,Road-150,Red,27623,Christian Jackson,M,45 - 54,Partial College,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,60,172.5,115,10350.0,6900,3450.0,7
SO43748,2005-07-14,2005,Q3,2005-Q3,7,313,Bikes,Road Bikes,Road-150,Red,27625,Alexandria Hughes,F,45 - 54,Partial College,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,3,169.5,113,508.5,339,169.5,7
SO43749,2005-07-14,2005,Q3,2005-Q3,7,314,Bikes,Road Bikes,Road-150,Red,27636,Paige Murphy,F,45 - 54,Partial College,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,3,172.5,115,517.5,345,172.5,7
SO43750,2005-07-14,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,11591,Stacey Lu,F,45 - 54,Partial College,France,7,King Landry,Benn Pitt,Manufacturer,Other,24,163.5,109,3924.0,2616,1308.0,7
SO43751,2005-07-14,2005,Q3,2005-Q3,7,313,Bikes,Road Bikes,Road-150,Red,11592,Darrell Raji,M,25 - 34,High School,France,7,King Landry,Benn Pitt,Manufacturer,Other,6,169.5,113,1017.0,678,339.0,7
SO43752,2005-07-14,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,13265,Luke Adams,M,45 - 54,High School,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,12,163.5,109,1962.0,1308,654.0,7
SO43753,2005-07-14,2005,Q3,2005-Q3,7,310,Bikes,Road Bikes,Road-150,Red,16482,Tabitha Arthur,F,55 - 64,Partial College,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,24,160.5,107,3852.0,2568,1284.0,7
SO43754,2005-07-15,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,27617,Morgan Phillips,F,35 - 44,Partial College,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,12,166.5,111,1998.0,1332,666.0,7
SO43755,2005-07-15,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,27670,Kayla Long,F,55 - 64,Graduate Degree,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,6,163.5,109,981.0,654,327.0,7
SO43756,2005-07-15,2005,Q3,2005-Q3,7,332,Bikes,Road Bikes,Road-650,Black,19941,Cedric Liang,M,55 - 64,High School,United Kingdom,10,Roshan Jeffery,Benn Pitt,Price,Other,12,208.5,139,2502.0,1668,834.0,7
SO43757,2005-07-15,2005,Q3,2005-Q3,7,350,Bikes,Mountain Bikes,Mountain-100,Black,11017,Shannon Wang,F,55 - 64,High School,Australia,9,Rabia Silva,Rudi Chung,Price,Other,24,244.5,163,5868.0,3912,1956.0,7
SO43758,2005-07-16,2005,Q3,2005-Q3,7,310,Bikes,Road Bikes,Road-150,Red,27646,Jackson Li,M,45 - 54,Bachelors,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,24,160.5,107,3852.0,2568,1284.0,7
SO43759,2005-07-16,2005,Q3,2005-Q3,7,310,Bikes,Road Bikes,Road-150,Red,13257,Jon Chander,M,45 - 54,Partial College,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,3,160.5,107,481.5,321,160.5,7
SO43760,2005-07-16,2005,Q3,2005-Q3,7,314,Bikes,Road Bikes,Road-150,Red,16352,Tiffany Gao,F,45 - 54,Partial College,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,6,172.5,115,1035.0,690,345.0,7
SO43761,2005-07-16,2005,Q3,2005-Q3,7,310,Bikes,Road Bikes,Road-150,Red,16493,Brenda Fernandez,F,55 - 64,Partial College,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,6,160.5,107,963.0,642,321.0,7
SO43762,2005-07-17,2005,Q3,2005-Q3,7,314,Bikes,Road Bikes,Road-150,Red,27578,Courtney Carter,F,45 - 54,Bachelors,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,6,172.5,115,1035.0,690,345.0,7
SO43763,2005-07-17,2005,Q3,2005-Q3,7,313,Bikes,Road Bikes,Road-150,Red,16525,Martha Liang,F,25 - 34,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,6,169.5,113,1017.0,678,339.0,7
SO43764,2005-07-17,2005,Q3,2005-Q3,7,310,Bikes,Road Bikes,Road-150,Red,16612,Ebony Ashe,F,25 - 34,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,6,160.5,107,963.0,642,321.0,7
SO43765,2005-07-17,2005,Q3,2005-Q3,7,346,Bikes,Mountain Bikes,Mountain-100,Silver,11010,Jacquelyn Suarez,F,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Price,Other,6,232.5,155,1395.0,930,465.0,7
SO43766,2005-07-18,2005,Q3,2005-Q3,7,313,Bikes,Road Bikes,Road-150,Red,16518,Krystal Holt,F,25 - 34,High School,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,6,169.5,113,1017.0,678,339.0,7
SO43767,2005-07-18,2005,Q3,2005-Q3,7,350,Bikes,Mountain Bikes,Mountain-100,Black,11001,Eugene Huang,M,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Price,Other,6,244.5,163,1467.0,978,489.0,7
SO43768,2005-07-19,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,27649,Evan Bailey,M,45 - 54,High School,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,15,166.5,111,2497.5,1665,832.5,7
SO43769,2005-07-19,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,21659,Gabrielle Jenkins,F,45 - 54,Graduate Degree,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,15,166.5,111,2497.5,1665,832.5,7
SO43770,2005-07-19,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,27614,Warren Ye,M,45 - 54,High School,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,15,166.5,111,2497.5,1665,832.5,7
SO43771,2005-07-19,2005,Q3,2005-Q3,7,330,Bikes,Road Bikes,Road-650,Red,14559,Ashley Washington,F,35 - 44,Bachelors,United States,4,Fintan Knott,Patrycja Bloggs,Price,Other,8,205.5,137,1644.0,1096,548.0,7
SO43772,2005-07-19,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,16524,Damien Huang,M,25 - 34,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,4,166.5,111,666.0,444,222.0,7
SO43773,2005-07-19,2005,Q3,2005-Q3,7,314,Bikes,Road Bikes,Road-150,Red,16526,Arthur Perez,M,25 - 34,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,4,172.5,115,690.0,460,230.0,7
SO43774,2005-07-19,2005,Q3,2005-Q3,7,313,Bikes,Road Bikes,Road-150,Red,16348,Roy Raman,M,45 - 54,Partial College,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,8,169.5,113,1356.0,904,452.0,7
SO43775,2005-07-19,2005,Q3,2005-Q3,7,347,Bikes,Mountain Bikes,Mountain-100,Silver,11027,Jessie Zhao,M,55 - 64,Partial College,Australia,9,Rabia Silva,Rudi Chung,Price,Other,3,235.5,157,706.5,471,235.5,7
SO43776,2005-07-20,2005,Q3,2005-Q3,7,314,Bikes,Road Bikes,Road-150,Red,13260,James Flores,M,45 - 54,Partial College,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,18,172.5,115,3105.0,2070,1035.0,7
SO43777,2005-07-20,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,16515,Troy Sai,M,25 - 34,Partial College,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,9,163.5,109,1471.5,981,490.5,7
SO43778,2005-07-20,2005,Q3,2005-Q3,7,345,Bikes,Mountain Bikes,Mountain-100,Silver,11018,Clarence Rai,M,55 - 64,Partial College,Australia,9,Rabia Silva,Rudi Chung,Price,Other,9,229.5,153,2065.5,1377,688.5,7
SO43779,2005-07-20,2005,Q3,2005-Q3,7,326,Bikes,Road Bikes,Road-650,Red,25252,Warren Zhang,M,45 - 54,Partial College,Australia,9,Rabia Silva,Rudi Chung,Price,Other,3,199.5,133,598.5,399,199.5,7
SO43780,2005-07-21,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,11599,Melody Diaz,F,25 - 34,High School,France,7,King Landry,Benn Pitt,Manufacturer,Other,9,163.5,109,1471.5,981,490.5,7
SO43781,2005-07-21,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,16495,Monique Ramos,F,45 - 54,Partial College,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,15,166.5,111,2497.5,1665,832.5,7
SO43782,2005-07-21,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,16516,Melvin She,M,25 - 34,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,136,166.5,111,22644.0,15096,7548.0,7
SO43783,2005-07-21,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,16620,Cameron Thompson,M,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,3,166.5,111,499.5,333,166.5,7
SO43784,2005-07-22,2005,Q3,2005-Q3,7,310,Bikes,Road Bikes,Road-150,Red,27667,Jessica Sanchez,F,45 - 54,High School,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,3,160.5,107,481.5,321,160.5,7
SO43785,2005-07-22,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,11601,Ivan Raman,M,25 - 34,Partial College,France,7,King Landry,Benn Pitt,Manufacturer,Other,36,163.5,109,5886.0,3924,1962.0,7
SO43786,2005-07-22,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,11607,Clinton Moreno,M,25 - 34,High School,France,7,King Landry,Benn Pitt,Manufacturer,Other,24,163.5,109,3924.0,2616,1308.0,7
SO43787,2005-07-22,2005,Q3,2005-Q3,7,344,Bikes,Mountain Bikes,Mountain-100,Silver,29385,Don Lal,M,45 - 54,High School,Germany,8,Meerab Yang,Rudi Chung,Price,Other,24,226.5,151,5436.0,3624,1812.0,7
SO43788,2005-07-22,2005,Q3,2005-Q3,7,351,Bikes,Mountain Bikes,Mountain-100,Black,11239,Latoya Goel,F,45 - 54,Partial College,United Kingdom,10,Roshan Jeffery,Benn Pitt,Price,Other,24,247.5,165,5940.0,3960,1980.0,7
SO43789,2005-07-22,2005,Q3,2005-Q3,7,351,Bikes,Mountain Bikes,Mountain-100,Black,25865,Tristan Butler,M,55 - 64,High School,United States,1,Aahil Mullen,Benn Pitt,Price,Other,24,247.5,165,5940.0,3960,1980.0,7
SO43790,2005-07-22,2005,Q3,2005-Q3,7,344,Bikes,Mountain Bikes,Mountain-100,Silver,25857,Abigail Perry,F,55 - 64,Partial High School,United States,1,Aahil Mullen,Benn Pitt,Price,Other,6,226.5,151,1359.0,906,453.0,7
SO43791,2005-07-22,2005,Q3,2005-Q3,7,314,Bikes,Road Bikes,Road-150,Red,16484,Dustin Lal,M,55 - 64,Partial College,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,1,172.5,115,172.5,115,57.5,7
SO43792,2005-07-22,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,16623,Andres Lal,M,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,2,166.5,111,333.0,222,111.0,7
SO43793,2005-07-22,2005,Q3,2005-Q3,7,344,Bikes,Mountain Bikes,Mountain-100,Silver,11000,Jon Yang,M,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Price,Other,12,226.5,151,2718.0,1812,906.0,7
SO43794,2005-07-22,2005,Q3,2005-Q3,7,347,Bikes,Mountain Bikes,Mountain-100,Silver,11029,Jimmy Moreno,M,55 - 64,Partial College,Australia,9,Rabia Silva,Rudi Chung,Price,Other,24,235.5,157,5652.0,3768,1884.0,7
SO43795,2005-07-23,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,27615,Maria Henderson,F,35 - 44,Bachelors,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,6,166.5,111,999.0,666,333.0,7
SO43796,2005-07-23,2005,Q3,2005-Q3,7,342,Bikes,Road Bikes,Road-650,Black,17956,Jaime Gomez,M,35 - 44,Bachelors,France,7,King Landry,Benn Pitt,Price,Other,6,223.5,149,1341.0,894,447.0,7
SO43797,2005-07-23,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,16345,Francis Ramos,M,55 - 64,Partial College,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,18,166.5,111,2997.0,1998,999.0,7
SO43798,2005-07-23,2005,Q3,2005-Q3,7,310,Bikes,Road Bikes,Road-150,Red,16521,Tonya She,F,25 - 34,High School,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,24,160.5,107,3852.0,2568,1284.0,7
SO43799,2005-07-23,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,16636,Danny Gomez,M,35 - 44,High School,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,18,166.5,111,2997.0,1998,999.0,7
SO43800,2005-07-24,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,21710,Brittany Gonzales,F,45 - 54,Partial College,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,16,163.5,109,2616.0,1744,872.0,7
SO43801,2005-07-24,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,13583,Blake Butler,M,45 - 54,High School,United Kingdom,10,Roshan Jeffery,Benn Pitt,Manufacturer,Other,20,163.5,109,3270.0,2180,1090.0,7
SO43802,2005-07-24,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,11593,Armando Moreno,M,25 - 34,High School,France,7,King Landry,Benn Pitt,Manufacturer,Other,20,166.5,111,3330.0,2220,1110.0,7
